"featcode"	"rowindex"	"name"	"description"	"icon"	"mincharlevel"	"minattackbonus"	"minstr"	"mindex"	"minint"	"minwis"	"minspelllvl"	"prereqfeat1"	"prereqfeat2"	"gainmultiple"	"effectsstack"	"allclassescanuse"	"category"	"maxcr"	"spellid"	"successor"	"crvalue"	"usesperday"	"masterfeat"	"targetself"	"orreqfeat0"	"orreqfeat1"	"orreqfeat2"	"orreqfeat3"	"orreqfeat4"	"reqskill"	"toolscategories"	"hostilefeat"		"scd_list"	"sol_list"	"sct_list"	"tec_list"	"drx_list"	"drc_list"	"jcn_list"	"jgd_list"	"jsn_list"	"sas_list"	"sld_list"	"sma_list"	"jwa_list"	"jma_list"	"jwm_list"		"jcn_pc_granted"	"jgd_pc_granted"	"jsn_pc_granted"	"scd_granted"	"sol_granted"	"sct_granted"	"tec_granted"	"drx_granted"	"drc_granted"	"jcn_granted"	"jgd_granted"	"jsn_granted"	"sas_granted"	"sld_granted"	"sma_granted"	"jwa_granted"	"jma_granted"	"jwm_granted"		"handmaiden"	"baodur"	"hanharr"	"hk47"	"g0t0"	"atton"	"kreia"	"exclusion"	"usetype"	"pips"
"RAPID_SHOT_3"	26			"if_rshot03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"RAPID_SHOT_1"	"RAPID_SHOT_2"	0	0	1	"0x1111"	9	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"POWER_ATTACK_1"	28			"if_pattack01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"0x1104"	3	"****"	"POWER_ATTACK_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"POWER_BLAST_1"	29			"if_pshot01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"0x1111"	3	"****"	"POWER_BLAST_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	0	1
"RAPID_SHOT_1"	30			"if_rshot01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"0x1111"	6	"****"	"RAPID_SHOT_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	1	1
"SNIPER_SHOT_1"	31			"if_sshot01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"0x1111"	3	"****"	"SNIPER_SHOT_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	1	1
"FLURRY_3"	53			"if_flurry03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"FLURRY_1"	"FLURRY_2"	0	0	1	"0x1104"	9	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"DEFLECT_1"	55			"if_jedidef01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"0x1808"	3	"****"	"DEFLECT_2"	"****"	"****"	"****"	1	"****"	"****"	"****"	"****"	"****"	"****"	3	0		4	4	4	4	4	4	1	1	1	1	1	1	1	1	1		1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1		0	0	0	0	0	0	0	"0x00"	"****"	1
"SNEAK_ATTACK_1"	60			"if_sneak01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	"****"
"SNEAK_ATTACK_2"	61			"if_sneak02"	3	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_1"	"****"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"SNEAK_ATTACK_3"	62			"if_sneak03"	7	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_1"	"SNEAK_ATTACK_2"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"SNEAK_ATTACK_4"	63			"if_sneak04"	11	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_3"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_5"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"SNEAK_ATTACK_5"	64			"if_sneak05"	15	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_4"	"****"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"SNEAK_ATTACK_E1"	65			"if_sneak06"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_E2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"SNEAK_ATTACK_E2"	66			"if_sneak07"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_E1"	"****"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_E3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"SNEAK_ATTACK_E3"	67			"if_sneak08"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_E1"	"SNEAK_ATTACK_E2"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_E4"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"SNEAK_ATTACK_E4"	68			"if_sneak09"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_E3"	0	0	0	"****"	"****"	"****"	"SNEAK_ATTACK_E5"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"SNEAK_ATTACK_E5"	69			"if_sneak10"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"SNEAK_ATTACK_E4"	"****"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"SNIPER_SHOT_3"	77			"if_sshot03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"SNIPER_SHOT_1"	"SNIPER_SHOT_2"	0	0	1	"0x1111"	9	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"CRITICAL_STRIKE_3"	81			"if_crtstrk03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"CRITICAL_STRIKE_1"	"CRITICAL_STRIKE_2"	0	0	1	"0x1104"	9	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"POWER_BLAST_3"	82			"if_pshot03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"POWER_BLAST_1"	"POWER_BLAST_2"	0	0	1	"0x1111"	9	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	0	3
"POWER_ATTACK_3"	83			"if_pattack03"	15	"****"	"****"	"****"	"****"	"****"	"****"	"POWER_ATTACK_1"	"POWER_ATTACK_2"	0	0	1	"0x1104"	9	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	1	3
"TWO_WEAPON_3"	85			"if_2weap03"	"***"	"****"	"****"	"****"	"****"	"****"	"****"	"TWO_WEAPON_1"	"TWO_WEAPON_2"	0	0	1	"****"	6	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"FLURRY_2"	91			"if_flurry02"	7	"****"	"****"	"****"	"****"	"****"	"****"	"FLURRY_1"	"****"	0	0	0	"0x1104"	6	"****"	"FLURRY_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"RAPID_SHOT_2"	92			"if_rshot02"	7	"****"	"****"	"****"	"****"	"****"	"****"	"RAPID_SHOT_1"	"****"	0	0	0	"0x1111"	6	"****"	"RAPID_SHOT_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"WOOKIEE_TOUGHNESS"	95			"if_wookieend"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"FORCE_IMMUNITY_1"	98			"if_immun01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"FORCE_IMMUNITY_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		4	4	4	4	4	4	1	1	1	1	1	1	1	1	1		1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"FORCE_IMMUNITY_2"	99			"if_immun02"	3	"****"	"****"	"****"	"****"	"****"	"****"	"FORCE_IMMUNITY_1"	"****"	0	0	0	"****"	"****"	"****"	"FORCE_IMMUNITY_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		4	4	4	4	4	4	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"FORCE_IMMUNITY_3"	100			"if_immun03"	7	"****"	"****"	"****"	"****"	"****"	"****"	"FORCE_IMMUNITY_1"	"FORCE_IMMUNITY_2"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		4	4	4	4	4	4	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	2
"FORCE_JUMP_1"	101			"if_jump01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"FORCE_JUMP_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1		0	0	0	0	0	0	0	"0x00"	"****"	3
"FORCE_JUMP_2"	102			"if_jump02"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"FORCE_JUMP_1"	"****"	0	0	0	"****"	"****"	"****"	"FORCE_JUMP_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7		0	0	0	0	0	0	0	"0x00"	"****"	1
"FORCE_JUMP_3"	103			"if_jump03"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"FORCE_JUMP_1"	"FORCE_JUMP_2"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15		0	0	0	0	0	0	0	"0x00"	"****"	2
"DUELING"	113			"if_duel01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"FORCE_SENSITIVE"	116			"if_forcesn"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	4	0		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"CLOSE_COMBAT"	139			"if_ccombat01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	1	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	2	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	3
"IGNORE_PAIN_1"	150			"if_ignrpain01"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	0	0	0	"****"	"****"	"****"	"IGNORE_PAIN_2"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"IGNORE_PAIN_2"	151			"if_ignrpain02"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"IGNORE_PAIN_1"	"****"	0	0	0	"****"	"****"	"****"	"IGNORE_PAIN_3"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
"IGNORE_PAIN_3"	152			"if_ignrpain03"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"IGNORE_PAIN_1"	"IGNORE_PAIN_2"	0	0	0	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	"****"	5	0		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1		0	0	0	0	0	0	0	"0x00"	"****"	1
